Reference,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,IEC61508 Concepts
"ISO/TS 15916:2026, 3.55",to cause to burn or to catch fire,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",ignite / burn / fire,ignite: Event; burn: Event; fire: Event/Situation,ignite: HazardousEvent; burn/fire: HarmfulEvent or HazardousEvent depending causal role
"ISO/TS 15916:2026, 3.56",energy required to initiate a flame in a flammable mixture,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",ignition energy / flame / flammable mixture,ignition energy: Moment; flame: Event/Situation; flammable mixture: Object/Situation,ignition energy: hazard characteristic; flame: HarmfulEvent manifestation; flammable mixture: HazardousSituation
"ISO/TS 15916:2026, 3.89",ignition of a combustible mixture as a result of repeated shock waves,Terminological definition - safety concept,"Define hazard, harm, risk and safety terminology",resonance ignition / ignition / combustible mixture / shock waves,resonance ignition: Event; ignition: Event; combustible mixture: Object/Situation; shock waves: Event,resonance ignition/ignition/shock waves: HazardousEvent; combustible mixture: HazardousSituation
"ISO/TS 15916:2026, 4.2.3",high flow rate in case of a leak somewhere in the system,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,high flow rate / leak / system,high flow rate: Moment; leak: Event; system: Object,high flow rate: Hazard characteristic; leak: HazardousEvent; system: EUC/HazardSource bearer
"ISO/TS 15916:2026, 4.2.3",prevent the formation of ignitable mixtures and the presence of ignition sources,Terminological definition - equipment/entity concept,Define entities and artefacts used in safety-related systems,formation of ignitable mixtures / ignitable mixtures / presence of ignition sources / ignition sources,formation of ignitable mixtures: Event; ignitable mixtures: Object/Situation; presence of ignition sources: Situation; ignition sources: Object/Event,formation of ignitable mixtures: HazardousEvent leading to HazardousSituation; ignitable mixtures: HazardousSituation; ignition sources: HazardousEvent trigger/HazardSource participant
"ISO/TS 15916:2026, 4.2.5",circumstances that can lead to over pressurization ... are fire or failure of a regulator,Terminological definition - safety-related system concept,Define risk reduction systems and their relation to hazard/harm,circumstances / over pressurization / fire / failure / regulator,circumstances: Situation; over pressurization: Event/Situation; fire: Event/Situation; failure: Event; regulator: Object,circumstances: HazardousSituation; over pressurization: HazardousSituation/Event; fire: HarmfulEvent/HazardousEvent; failure: HazardousEvent; regulator: system component/HazardSource bearer
"ISO/TS 15916:2026, 4.2.6",monitor the presence of hydrogen gas or hydrogen fire,Detection and monitoring,Define detection concepts and monitoring measures for hydrogen release/fire,monitor / presence of hydrogen gas / hydrogen gas / hydrogen fire,monitor: Event; presence of hydrogen gas: Situation; hydrogen gas: Object; hydrogen fire: Event/Situation,monitor: safety function / diagnostic action; presence of hydrogen gas: HazardousSituation; hydrogen fire: HarmfulEvent or HazardousEvent
"ISO/TS 15916:2026, 4.4",efforts should be considered to minimise leaks and boil-off entering the atmosphere,Environmental effects,Identify hazard characteristics and safety-relevant properties,leaks / boil-off / atmosphere,leaks: Event; boil-off: Event/Object; atmosphere: Situation/Object,leaks/boil-off: HazardousEvent if uncontrolled; atmosphere: exposed environment / consequence context
"ISO/TS 15916:2026, 5.2.2.3",temperature rise is insufficient to cause ignition of a hydrogen release into atmosphere,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,temperature rise / ignition / hydrogen release / atmosphere,temperature rise: Event/Moment; ignition: Event; hydrogen release: Event; atmosphere: Situation/Object,temperature rise: Hazard characteristic / causal condition; ignition: HazardousEvent; hydrogen release: HazardousEvent; atmosphere: exposed environment/context
"ISO/TS 15916:2026, 5.3.1",Flammability of hydrogen/air mixtures is also a function of flame propagation direction,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,flammability / hydrogen/air mixtures / flame propagation direction,flammability: Moment/Disposition; hydrogen/air mixtures: Object/Situation; flame propagation direction: Moment,flammability: Hazard/Hazard characteristic; hydrogen/air mixtures: HazardousSituation; flame propagation direction: HazardousEvent characteristic
"ISO/TS 15916:2026, 5.3.2",Combustion occurs in three different physical processes,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,combustion / physical processes,combustion: Event; physical processes: Event,combustion: HazardousEvent or HarmfulEvent depending context; physical processes: event categories
"ISO/TS 15916:2026, 5.3.5",When hydrogen and an oxidizer are allowed to form a mixture within the flammability limits prior to ignition,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,hydrogen / oxidizer / mixture / flammability limits / ignition,hydrogen: Object; oxidizer: Object; mixture: Object/Situation; flammability limits: Moment; ignition: Event,hydrogen/oxidizer: HazardSource participants; mixture: HazardousSituation; flammability limits: Hazard characteristics; ignition: HazardousEvent
"ISO/TS 15916:2026, 5.3.5",rapid release of energy that causes an overpressure,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,rapid release of energy / overpressure / burst of vessel,rapid release of energy: Event; overpressure: Moment/Situation; burst of vessel: Event,rapid release/burst: HazardousEvent; overpressure: Hazard characteristic or Hazard; vessel: HazardSource bearer
"ISO/TS 15916:2026, 5.3.6",combustion is limited to a specific range of mixture compositions,Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,combustion / mixture compositions,combustion: Event; mixture compositions: Moment,combustion: HazardousEvent/HarmfulEvent; mixture compositions: Hazard characteristics
"ISO/TS 15916:2026, 5.3.7","flames, electrical sparks, fused wires, incendiaries, hot surfaces ... can be sources of ignition",Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,flames / electrical sparks / fused wires / incendiaries / hot surfaces / sources of ignition,flames: Event/Situation; electrical sparks: Event; fused wires: Object/Situation; incendiaries: Object; hot surfaces: Object/Situation; sources of ignition: Object/Event,sources of ignition: HazardSource or HazardousEvent trigger; flames/electrical sparks: HazardousEvent; hot surfaces/fused wires/incendiaries: HazardSource participants or enabling conditions
"ISO/TS 15916:2026, 5.3.7","ignition energy has a minimum, usually at a concentration a bit lower than the stoichiometric one",Basic hydrogen properties,Identify safety-relevant hydrogen properties and hazard characteristics,ignition energy / minimum / concentration / stoichiometric,ignition energy: Moment; minimum: Moment; concentration: Moment; stoichiometric: Moment,ignition energy/concentration/stoichiometric relation: Hazard characteristics relevant to HazardousEvent likelihood
"ISO/TS 15916:2026, 6.1",flammability: thermal effects; pressure effects; easy ignitability of some mixtures,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",flammability / thermal effects / pressure effects / easy ignitability / mixtures,flammability: Moment/Disposition; thermal effects: Event/Situation; pressure effects: Event/Situation; easy ignitability: Moment/Disposition; mixtures: Object/Situation,flammability/easy ignitability: Hazard or Hazard characteristic; thermal effects/pressure effects: consequences/Harm mechanisms or HazardousEvent effects; mixtures: HazardousSituation
"ISO/TS 15916:2026, 6.1",asphyxiation hazard if oxygen is replaced,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",asphyxiation hazard / oxygen / replaced,asphyxiation hazard: Moment/Disposition in text; asphyxiation itself: Event/Situation; oxygen: Object; replaced: Event/Situation,"asphyxiation hazard: Hazard in ISO wording; oxygen replacement/depletion: Hazard, HazardousSituation or HazardousEvent; asphyxiation: Harm/HarmfulEvent"
"ISO/TS 15916:2026, 6.1",mixture cloud will expand quickly in all directions ... and can reach ignition sources,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",mixture cloud / expand / ignition sources,mixture cloud: Object/Situation; expand: Event; ignition sources: Object/Event,mixture cloud: HazardousSituation; expansion/reaching ignition source: HazardousEvent sequence; ignition sources: HazardousEvent trigger/HazardSource
"ISO/TS 15916:2026, 6.2.1",combustion hazards is common to all hydrogen systems,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",combustion hazards / hydrogen systems,combustion hazards: Moment/Disposition in text; combustion itself: Event; hydrogen systems: Object,combustion hazards: Hazard in ISO wording; combustion: Hazard/HazardousEvent/HarmfulEvent; hydrogen systems: EUC/HazardSource bearer
"ISO/TS 15916:2026, 6.2.2","if enclosed, it can accumulate in high spots and reach ignition sources",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",accumulate / high spots / ignition sources,accumulate: Event/Situation; high spots: Object/Situation; ignition sources: Object/Event,accumulation in high spots: Hazard/HazardousSituation; reaching ignition sources: HazardousEvent sequence; ignition sources: HazardSource/HazardousEvent trigger
"ISO/TS 15916:2026, 6.2.2",Leaks that result in a jet fire ... can cause physical harm,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",leaks / jet fire / physical harm,leaks: Event; jet fire: Event/Situation; physical harm: Event/Situation,leaks: Hazard/HazardousEvent; jet fire: Hazard/HarmfulEvent; physical harm: Harm
"ISO/TS 15916:2026, 6.2.3",oxygen enrichment ... in the condensed air is possible,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",oxygen enrichment / condensed air,oxygen enrichment: Situation/Moment; condensed air: Object,oxygen enrichment: Hazard/HazardousSituation or Hazard characteristic; condensed air: HazardSource participant
"ISO/TS 15916:2026, 6.3.1",The principal hazard presented by hydrogen systems is the uncontrolled combustion of accidentally released hydrogen,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",principal hazard / hydrogen systems / uncontrolled combustion / released hydrogen,principal hazard: Moment/Disposition in text; uncontrolled combustion: Event; hydrogen systems: Object; released hydrogen: Object/Situation,principal hazard: Hazard in ISO wording; uncontrolled combustion: HazardousEvent or HarmfulEvent; released hydrogen: HazardousSituation participant; hydrogen systems: EUC/HazardSource bearer
"ISO/TS 15916:2026, 6.3.1",high potential for leaks and formation of combustible mixtures; hazard,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",potential / leaks / formation of combustible mixtures / combustible mixtures,potential: Moment/Disposition; leaks: Event; formation of combustible mixtures: Event; combustible mixtures: Object/Situation,potential: Hazard potential; leaks: HazardousEvent; formation of combustible mixtures: HazardousEvent leading to HazardousSituation; combustible mixtures: HazardousSituation
"ISO/TS 15916:2026, 6.3.1",potential for high-energy releases that can occur as a fire or an explosion; hazard,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",high-energy releases / fire / explosion,high-energy releases: Event; fire: Event/Situation; explosion: Event,"high-energy releases: HazardousEvent or HarmfulEvent; fire/explosion: Hazard, HarmfulEvent or HazardousEvent depending causal role"
"ISO/TS 15916:2026, 6.3.1","For hydrogen to combust, two additional elements need to be present: an oxidizer such as air and a source of ignition; hazard",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",hydrogen / combust / oxidizer / air / source of ignition,hydrogen: Object; combust: Event; oxidizer: Object; air: Object; source of ignition: Object/Event,hydrogen/oxidizer/air: HazardSource participants; combust: HazardousEvent/HarmfulEvent; source of ignition: HazardousEvent trigger or HazardSource
"ISO/TS 15916:2026, 6.3.1",Combustion is possible only when all three sides of the triangle are there; hazard,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",combustion / fire triangle,combustion: Event; fire triangle: Object,combustion: HazardousEvent or HarmfulEvent; fire triangle: conceptual representation of HazardousSituation preconditions
"ISO/TS 15916:2026, 6.3.1","several modes of hydrogen combustion: non-premixed combustion (fire) at a point source, deflagration, and detonation; hazard",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",modes / hydrogen combustion / non-premixed combustion / fire / point source / deflagration / detonation,modes: Situation; hydrogen combustion: Event; non-premixed combustion: Event; fire: Event/Situation; point source: Object; deflagration: Event; detonation: Event,"hydrogen combustion/non-premixed combustion/deflagration/detonation: Hazard, HazardousEvent or HarmfulEvent depending causal role; fire: HarmfulEvent or HazardousEvent; point source: HazardSource or release location"
"ISO/TS 15916:2026, 6.3.2",a leak ... can be ignited to produce a flame,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",leak / ignited / flame,leak: Event; ignited: Event; flame: Event/Situation,leak: HazardousEvent; ignition: HazardousEvent; flame: HarmfulEvent manifestation or HazardousEvent depending role
"ISO/TS 15916:2026, 6.3.3.1",An explosion can be manifested through a deflagration or a detonation,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",explosion / manifested / deflagration / detonation,explosion: Event; manifested: Event; deflagration: Event; detonation: Event,explosion: HarmfulEvent or HazardousEvent; deflagration/detonation: HazardousEvent or HarmfulEvent depending context
"ISO/TS 15916:2026, 6.3.3.2",the deflagration process can transform into a detonation,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",deflagration process / transform / detonation / DDT,deflagration process: Event; transform: Event; detonation: Event; DDT: Event,deflagration-to-detonation transition: HazardousEvent or HarmfulEvent; detonation: HazardousEvent/HarmfulEvent depending role
"ISO/TS 15916:2026, 6.3.3.3",Detonations that impinge on surfaces are reflected,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",detonations / surfaces / reflected pressure waves,detonations: Event; surfaces: Object; reflected pressure waves: Event/Moment,detonation: HazardousEvent/HarmfulEvent; reflected pressure waves: Harm mechanism or consequence
"ISO/TS 15916:2026, 6.3.3.4",Safety considerations that arise from the hydrogen deflagration and detonation behaviour,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",safety considerations / deflagration / detonation behaviour,safety considerations: Object; deflagration: Event; detonation behaviour: Event/Situation,deflagration/detonation behaviour: HazardousEvent or HarmfulEvent depending context
"ISO/TS 15916:2026, 6.3.3.4","consequences of formation of high pressures, hot post flame gases, radiation, and rapid propagation of flame fronts",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",consequences / high pressures / hot post flame gases / radiation / rapid propagation / flame fronts,consequences: Event/Situation; high pressures: Moment/Situation; hot post flame gases: Object/Situation; radiation: Event/Moment; rapid propagation: Event; flame fronts: Event/Object,consequences: Harm/HarmfulEvent; high pressures/radiation/hot gases: Harm mechanisms; flame front propagation: HazardousEvent
"ISO/TS 15916:2026, 6.3.3.4",Deflagrations ... can produce pressures ... Detonation ... can produce pressures ... relief systems do not sense the approaching detonation wave,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",deflagrations / detonation / pressures / relief systems / detonation wave / rapid pressure rise,deflagrations: Event; detonation: Event; pressures: Moment; relief systems: Object; detonation wave: Event/Object; rapid pressure rise: Event/Moment,deflagration/detonation: HazardousEvent/HarmfulEvent; pressure rise: Harm mechanism; relief systems: risk reduction measure
"ISO/TS 15916:2026, 6.3.4",thermal radiation from jet fires and fireballs can cause injury and damage,Safety considerations - consequence concept,Analyse consequences of combustion hazards,thermal radiation / jet fires / fireballs / injury / damage,thermal radiation: Event/Situation; jet fires: Event/Situation; fireballs: Event/Situation; injury: Situation; damage: Situation,thermal radiation/jet fires/fireballs: HarmfulEvent or harmful effects; injury/damage: Harm
"ISO/TS 15916:2026, 6.3.3",direct contact with combusting hydrogen can result in burns,Safety considerations - consequence concept,Analyse consequences of combustion hazards,direct contact / combusting hydrogen / burns,direct contact: Event; combusting hydrogen: Event/Situation; burns: Situation,direct contact/combusting hydrogen: HarmfulEvent or exposure event; burns: Harm
"ISO/TS 15916:2026, 6.3.4",smoke inhalation can occur as a consequence of fire,Safety considerations - consequence concept,Analyse consequences of combustion hazards,smoke inhalation / consequence / fire,smoke inhalation: Event; consequence: Situation; fire: Event/Situation,smoke inhalation: HarmfulEvent or Harm depending interpretation; fire: HarmfulEvent; consequence: Harm
"ISO/TS 15916:2026, 6.3.3.4",Explosions with cryogenic hydrogen are characterised by higher densities of the reacting mixtures,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",explosions / cryogenic hydrogen / reacting mixtures / flame acceleration / detonation transition,explosions: Event; cryogenic hydrogen: Object/Situation; reacting mixtures: Object/Situation; flame acceleration: Event; detonation transition: Event,explosion/flame acceleration/detonation transition: HazardousEvent or HarmfulEvent; reacting mixture: HazardousSituation
"ISO/TS 15916:2026, 6.4.1",hydrogen presents several pressure-related hazards,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",pressure-related hazards / hydrogen,pressure-related hazards: Moment/Disposition in text; pressure effects: Event/Moment; hydrogen: Object,pressure-related hazards: Hazard in ISO wording; pressure effects: Harm mechanism or HazardousEvent effect
"ISO/TS 15916:2026, 6.4.1","Pressure effects are characteristic and could be hazardous for scenarios involving unignited release ... jet fire, deflagrations, and detonations",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",pressure effects / unignited release / jet fire / deflagrations / detonations,pressure effects: Event/Moment; unignited release: Event; jet fire: Event/Situation; deflagrations: Event; detonations: Event,pressure effects: Hazard or Harm mechanism; unignited release/jet fire/deflagration/detonation: HazardousEvent or HarmfulEvent
"ISO/TS 15916:2026, 6.4.2","release of this energy can generate strong pressure effects depending on the release rate, even without a subsequent combustion",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",release / stored energy / pressure effects / release rate / combustion,release: Event; stored energy: Moment; pressure effects: Event/Moment; release rate: Moment; combustion: Event,release of stored energy: HazardousEvent; pressure effects: Harm mechanism; release rate: hazard characteristic
"ISO/TS 15916:2026, 6.4.3",volume increase ... can over-pressurize containment structures such as a storage vessel or piping to the point of bursting,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",volume increase / over-pressurize / containment structures / storage vessel / piping / bursting,volume increase: Event/Moment; over-pressurize: Event; containment structures: Object; storage vessel: Object; piping: Object; bursting: Event,over-pressurization: HazardousEvent/Hazard; containment structures/vessel/piping: HazardSource bearer; bursting: HarmfulEvent
"ISO/TS 15916:2026, 6.4.3","Inadequate relief can lead to catastrophic failure of the component, resulting in a blast wave, fireball or in a BLEVE",Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",inadequate relief / catastrophic failure / component / blast wave / fireball / BLEVE / shrapnel,inadequate relief: Situation; catastrophic failure: Event; component: Object; blast wave: Event; fireball: Event/Situation; BLEVE: Event; shrapnel: Object/Event,inadequate relief: HazardousSituation; catastrophic failure: HazardousEvent/HarmfulEvent; blast wave/fireball/BLEVE/shrapnel: HarmfulEvent/Harm mechanisms
"ISO/TS 15916:2026, 6.5",materials experience a reduction in size and a drastic decrease in their ductility,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",low temperature hazards / reduction in size / decrease in ductility / materials,low temperature hazards: Moment/Disposition in text; reduction in size: Event/Moment; decrease in ductility: Moment; materials: Object,low temperature hazards: Hazard in ISO wording; ductility reduction: Hazard characteristic; materials: HazardSource bearer
"ISO/TS 15916:2026, 6.5",The consequence of material failure in a hydrogen system is the release of hydrogen,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",material failure / hydrogen system / release of hydrogen,material failure: Event; hydrogen system: Object; release of hydrogen: Event,material failure: HazardousEvent; release of hydrogen: HazardousEvent leading to HazardousSituation
"ISO/TS 15916:2026, 6.6.1",significant loss of ductility when exposed to hydrogen ... known as hydrogen embrittlement,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",loss of ductility / exposed to hydrogen / hydrogen embrittlement,loss of ductility: Moment; exposed to hydrogen: Situation/Event; hydrogen embrittlement: Event/Moment,hydrogen embrittlement: Hazard in ISO wording or HazardousEvent; loss of ductility: Hazard characteristic
"ISO/TS 15916:2026, 6.6.1",Material degradation induced by embrittlement can result in catastrophic failure of containment structures,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",material degradation / embrittlement / catastrophic failure / containment structures,material degradation: Event/Moment; embrittlement: Event/Moment; catastrophic failure: Event; containment structures: Object,material degradation/embrittlement: HazardousEvent or Hazard characteristic; catastrophic failure: HarmfulEvent; containment structures: HazardSource bearer
"ISO/TS 15916:2026, 6.6.2",hydrogen attack ... non-reversible degradation of the steel microstructure caused by a chemical reaction,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",hydrogen attack / degradation / steel microstructure / chemical reaction / methane,hydrogen attack: Event/Moment; degradation: Event/Moment; steel microstructure: Object; chemical reaction: Event; methane: Object,hydrogen attack: HazardousEvent or Hazard characteristic; degradation: HazardousEvent; chemical reaction: causal mechanism
"ISO/TS 15916:2026, 6.7.3",risk of asphyxiation exists mainly in confined spaces as a result of oxygen depletion,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",asphyxiation / confined spaces / oxygen depletion,asphyxiation: Event/Situation; confined spaces: Object/Situation; oxygen depletion: Moment/Event/Situation,"asphyxiation: Hazard, HarmfulEvent or harm depending interpretation; confined spaces: HazardousSituation; oxygen depletion: Hazard/HazardousSituation or causal event"
"ISO/TS 15916:2026, 6.7.3",asphyxiation exists mainly in confined spaces,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",confined spaces / asphyxiation,confined spaces: Object/Situation; asphyxiation: Event/Situation,confined spaces: HazardousSituation or exposure context; asphyxiation: Hazard or HarmfulEvent depending role
"ISO/TS 15916:2026, 6.7.3",oxygen depletion can result in asphyxiation,Safety considerations,"Determine hazards, causal factors, consequences, and risk-relevant conditions",oxygen depletion / asphyxiation,oxygen depletion: Moment/Event/Situation; asphyxiation: Event/Situation,"oxygen depletion: Hazard, HazardousSituation or HazardousEvent depending role; asphyxiation: HarmfulEvent/harm or Hazard depending interpretation"
"ISO/TS 15916:2026, 7.1.3",The first step is identifying that a hazard exists and which consequences it can have,Mitigation and control,Identify hazards and consequences and select treatment options,hazard / consequences / identifying,hazard: Event/Moment/Object/Situation; consequences: Event/Situation; identifying: Event,hazard: generic Hazard concept; consequences: Harm/HarmfulEvent; identifying: hazard analysis activity
"ISO/TS 15916:2026, 7.1.3",use of a material that is not susceptible to hydrogen embrittlement ... will reduce a hydrogen embrittlement hazard,Mitigation and control,Identify hazards and consequences and select treatment options,material / susceptible / hydrogen embrittlement / hydrogen embrittlement hazard,material: Object; susceptible: Moment/Disposition; hydrogen embrittlement: Event/Moment; hydrogen embrittlement hazard: Moment/Disposition in text,hydrogen embrittlement hazard: Hazard in ISO wording; material: HazardSource bearer; reduced susceptibility: risk reduction measure
"ISO/TS 15916:2026, 7.2.1",all energy carriers have inherent hazards,Mitigation and control,Define design measures and inherent safety features,energy carriers / inherent hazards / hydrogen system / inherent safety features,energy carriers: Object; inherent hazards: Moment/Disposition in text; hydrogen system: Object; inherent safety features: Moment/Object,inherent hazards: Hazard as inherent property/disposition; hydrogen system: EUC/HazardSource bearer; safety features: risk reduction measures
"ISO/TS 15916:2026, 7.2.2.2",Oxygen enrichment can increase the flammability and even lead to the formation of shock-sensitive compounds,Mitigation and control,Define design measures and inherent safety features,oxygen enrichment / flammability / formation / shock-sensitive compounds,oxygen enrichment: Situation/Moment; flammability: Moment; formation: Event; shock-sensitive compounds: Object/Situation,oxygen enrichment: HazardousSituation or Hazard characteristic; flammability: Hazard characteristic; shock-sensitive compounds: HazardSource or HazardousSituation
"ISO/TS 15916:2026, 7.2.4",potential for developing pressures that could exceed the containment capability because of the volume increase,Mitigation and control,Define design measures and inherent safety features,potential / developing pressures / containment capability / volume increase,potential: Moment/Disposition; developing pressures: Event/Moment; containment capability: Moment; volume increase: Event/Moment,developing pressure/overpressure: HazardousEvent or Hazard; containment capability: safety property; volume increase: causal event
"ISO/TS 15916:2026, 7.3.1",Hydrogen/air and hydrogen/oxygen mixtures are readily ignited over a wide range of mixture compositions,Mitigation and control,Prevent and mitigate fire and explosion hazards and risks,hydrogen/air mixtures / hydrogen/oxygen mixtures / readily ignited / mixture compositions,hydrogen/air mixtures: Object/Situation; hydrogen/oxygen mixtures: Object/Situation; readily ignited: Moment/Disposition; mixture compositions: Moment,mixtures: HazardousSituation; ignitability/mixture composition: Hazard characteristics; ignition: HazardousEvent
"ISO/TS 15916:2026, 7.3.2",prevention of the formation of an unwanted hydrogen/oxidizer mixture is known as primary explosion protection,Mitigation and control,Prevent and mitigate fire and explosion hazards and risks,formation / unwanted hydrogen/oxidizer mixture / primary explosion protection,formation: Event; unwanted hydrogen/oxidizer mixture: Object/Situation; primary explosion protection: Object/Event,formation of mixture: HazardousEvent leading to HazardousSituation; unwanted mixture: HazardousSituation; primary explosion protection: risk reduction measure
